"TS1 B_SP,1,.tif"	 
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
173	0.9653
0	0
0	0
0	0
0	0
0	0
192	0.9768
0	0
0	0
0	0
138	0.9699
0	0
0	0
0	0
0	0
0	0
150	0.9612
0	0
0	0
16	1
0	0
36	1
0	0
0	0
208	0.978
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
185	0.9734
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
160	0.9987
0	0
0	0
0	0
0	0
0	0
0	0
151	0.9676
159	0.9818
0	0
0	0
162	0.9503
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
197	0.9791
0	0
172	0.9271
0	0
72	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
191	0.9718
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
12	1
139	1
0	0
0	0
165	0.9679
0	0
0	0
93	1
160	0.9731
0	0
0	0
0	0
95	0.9956
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
102	0.9554
0	0
0	0
123	1
0	0
0	0
0	0
0	0
0	0
109	0.9638
0	0
0	0
0	0
153	0.9912
215	0.9491
157	0.9799
0	0
150	0.9612
129	0.9172
0	0
80	0.9942
0	0
54	1
0	0
0	0
0	0
0	0
0	0
175	0.9666
0	0
0	0
149	0.9653
0	0
0	0
0	0
132	0.9652
118	0.9938
0	0
0	0
0	0
0	0
0	0
120	0.9687
0	0
0	0
0	0
0	0
0	0
0	0
105	0.9835
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
212	0.9656
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
174	0.9379
0	0
0	0
0	0
0	0
0	0
0	0
85	1
0	0
0	0
196	0.9428
187	0.9839
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
195	0.9691
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
151	0.9783
0	0
138	0.9699
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
71	0.9017
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
167	0.9796
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
152	0.9848
0	0
0	0
0	0
0	0
0	0
230	0.9721
0	0
0	0
193	0.95
145	0.9914
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
94	1
115	0.9986
117	0.9731
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
181	0.9756
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
149	0.9548
0	0
0	0
0	0
0	0
114	1
0	0
0	0
0	0
0	0
0	0
194	0.9549
0	0
0	0
195	0.938
0	0
0	0
189	0.9847
0	0
0	0
0	0
0	0
0	0
0	0
0	0
142	1
0	0
0	0
0	0
0	0
0	0
0	0
119	0.9898
206	0.9685
185	0.9638
161	0.9688
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
164	0.9974
0	0
99	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
130	0.9506
0	0
209	0.9827
0	0
113	0.9517
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
72	0.9959
130	0.978
0	0
64	0.9982
0	0
0	0
0	0
0	0
0	0
122	0.9562
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
193	0.9819
171	1
0	0
0	0
150	0.9612
190	0.9443
0	0
0	0
0	0
0	0
156	0.9737
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
198	0.9615
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
34	1
0	0
0	0
0	0
0	0
0	0
134	0.9418
0	0
0	0
142	0.9709
0	0
139	0.9882
155	0.9932
0	0
0	0
0	0
0	0
195	0.9921
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
153	0.9447
0	0
0	0
0	0
0	0
0	0
0	0
0	0
137	0.9367
0	0
0	0
170	0.9725
0	0
133	0.9348
135	0.9871
0	0
0	0
0	0
0	0
0	0
0	0
0	0
172	0.9839
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
181	0.9997
140	0.9213
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
137	1
189	0.9616
0	0
0	0
111	0.9763
140	0.9682
0	0
0	0
0	0
133	0.984
0	0
0	0
0	0
0	0
0	0
0	0
0	0
232	0.9598
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
147	0.9674
0	0
0	0
20	1
0	0
0	0
63	1
0	0
0	0
0	0
0	0
67	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
210	0.9565
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
171	0.9782
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
176	0.9487
0	0
0	0
0	0
0	0
107	1
0	0
179	0.9552
0	0
0	0
112	0.9725
0	0
0	0
0	0
0	0
0	0
0	0
0	0
144	0.9959
0	0
199	0.9572
0	0
0	0
0	0
0	0
169	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
255	0.9355
0	0
0	0
0	0
0	0
0	0
0	0
0	0
117	0.9854
0	0
0	0
0	0
0	0
0	0
0	0
133	0.9725
152	0.974
0	0
0	0
0	0
104	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
223	0.9425
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
111	1
0	0
187	0.9742
0	0
0	0
0	0
0	0
0	0
0	0
127	0.9669
141	0.991
161	0.9688
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
168	0.9855
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
183	0.9864
0	0
0	0
0	0
0	0
236	0.9362
138	0.9811
0	0
0	0
141	0.991
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
176	0.9721
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
127	0.9954
141	0.9641
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
214	0.9747
0	0
0	0
0	0
0	0
191	0.9718
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
212	0.9656
0	0
0	0
149	0.9653
151	0.9676
0	0
0	0
0	0
0	0
0	0
0	0
16	1
177	0.9877
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
167	0.9796
0	0
0	0
0	0
0	0
0	0
0	0
198	0.9524
0	0
0	0
0	0
0	0
0	0
87	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
170	0.9725
0	0
169	0.9568
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
171	0.9542
180	0.9605
0	0
0	0
175	0.9433
153	0.9654
98	0.9932
117	0.9854
0	0
123	0.964
0	0
5	0.8727
0	0
0	0
0	0
0	0
0	0
188	0.9565
0	0
143	1
165	0.9679
153	0.9804
203	0.9764
0	0
198	0.9615
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
144	0.9582
0	0
156	0.9737
0	0
0	0
140	0.9954
0	0
201	0.9668
0	0
90	0.9121
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
204	0.9813
0	0
201	0.9761
143	0.9889
0	0
132	0.9652
0	0
170	0.9725
183	0.9864
139	0.9882
"TS2 B_SP,1,.tif"	
199	0.9572
0	0
0	0
0	0
10	1
103	0.9648
145	0.9394
130	0.9395
100	0.9367
132	0.9766
13	1
132	0.9277
7	1
98	0.9609
161	0.9792
169	0.9914
126	0.9213
117	0.9731
149	0.93
157	0.9548
0	0
0	0
7	1
100	1
36	1
139	0.9882
152	0.9848
167	0.9455
128	0.9359
9	1
177	0.9541
130	0.9243
6	1
45	1
0	0
0	0
10	0.9817
0	0
0	0
0	0
139	0.9504
0	0
17	0.9405
98	0.948
133	0.9725
0	0
127	0.9669
5	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6	1
0	0
115	0.9398
0	0
0	0
0	0
105	0.9835
0	0
115	0.9565
39	0.9781
138	0.9436
21	1
0	0
0	0
0	0
0	0
0	0
147	0.9524
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
162	0.9503
7	1
0	0
0	0
0	0
161	0.9792
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
96	0.9865
0	0
0	0
170	0.9725
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
67	1
177	0.9541
178	0.9692
0	0
79	1
34	0.9944
0	0
0	0
60	0.9929
0	0
0	0
134	0.9798
0	0
0	0
0	0
0	0
0	0
0	0
25	1
0	0
0	0
0	0
0	0
0	0
179	0.9648
150	0.9718
0	0
0	0
0	0
57	0.9847
0	0
33	0.9652
0	0
158	0.9862
76	0.9445
95	0.919
0	0
154	0.9612
0	0
0	0
170	0.9486
131	0.9973
92	0.9976
125	0.9404
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
67	0.9638
105	0.9835
0	0
0	0
150	0.9982
0	0
0	0
109	0.9763
0	0
0	0
0	0
138	0.9811
151	0.9783
71	0.9664
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
61	0.9919
6	1
106	0.9619
156	0.9151
131	0.9579
166	0.9496
0	0
0	0
0	0
0	0
0	0
135	0.9598
61	1
0	0
130	0.9897
142	0.9449
154	0.9612
58	0.9431
35	1
0	0
139	0.9882
0	0
148	0.9588
0	0
167	0.9653
0	0
0	0
142	0.982
0	0
0	0
95	0.9956
56	1
0	0
0	0
112	0.9433
0	0
0	0
140	0.9573
0	0
83	0.9945
0	0
0	0
0	0
5	1
0	0
163	0.9562
0	0
0	0
0	0
7	1
6	1
98	0.9932
0	0
65	1
147	0.9782
0	0
0	0
119	0.9327
128	0.9745
0	0
137	0.9367
0	0
0	0
0	0
5	0.8727
0	0
0	0
0	0
126	0.9757
0	0
91	1
0	0
0	0
180	0.9378
0	0
0	0
20	0.4437
0	0
0	0
55	0.9502
31	1
118	0.9248
0	0
117	0.9562
37	1
0	0
0	0
0	0
0	0
8	1
130	0.9897
0	0
71	1
63	1
0	0
0	0
0	0
0	0
0	0
147	0.9524
0	0
0	0
0	0
141	0.9641
102	1
113	0.9517
0	0
0	0
0	0
143	0.9516
0	0
0	0
18	1
71	1
147	0.942
0	0
0	0
0	0
0	0
111	0.9348
8	1
0	0
0	0
0	0
0	0
175	0.9666
162	0.9748
0	0
0	0
107	0.9584
147	0.9524
39	1
0	0
165	0.9537
0	0
115	0.9986
115	0.9565
0	0
0	0
0	0
0	0
84	1
0	0
0	0
0	0
0	0
0	0
163	0.9562
0	0
0	0
0	0
116	0.977
109	0.9066
0	0
0	0
0	0
0	0
144	0.9476
160	0.9731
0	0
0	0
117	0.9854
158	0.9507
0	0
0	0
133	0.9725
148	0.9238
135	0.9598
150	0.9982
150	0.9982
0	0
20	1
51	1
0	0
0	0
0	0
0	0
93	1
64	0.9982
113	0.9812
0	0
0	0
0	0
0	0
0	0
58	1
76	0.9445
119	0.9606
0	0
115	0.9398
63	0.9433
5	1
0	0
0	0
0	0
0	0
158	0.9609
0	0
0	0
5	1
5	1
0	0
0	0
0	0
94	1
94	0.9851
109	0.9763
0	0
93	0.9885
0	0
0	0
120	0.9687
101	0.9771
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
30	0.3672
0	0
0	0
0	0
0	0
0	0
128	0.9359
139	0.9398
5	1
0	0
17	0.9849
18	1
0	0
0	0
0	0
118	0.9248
0	0
0	0
0	0
200	0.962
0	0
135	0.9871
0	0
0	0
130	0.9897
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
138	0.9699
118	0.9525
0	0
0	0
0	0
5	1
0	0
0	0
0	0
108	0.98
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
125	0.9797
6	1
112	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
134	0.9527
120	1
0	0
0	0
7	1
101	0.9904
0	0
0	0
109	0.9891
110	0.9552
0	0
0	0
0	0
0	0
0	0
0	0
167	0.9796
112	0.9851
103	0.9648
5	1
25	0.9805
137	0.974
118	0.9525
75	1
0	0
133	0.9725
161	0.9688
86	0.9797
0	0
94	0.9851
0	0
0	0
189	0.9616
140	0.9573
0	0
0	0
5	0.8727
0	0
5	1
0	0
144	0.9227
0	0
0	0
0	0
114	0.9899
0	0
0	0
0	0
0	0
0	0
0	0
101	0.9461
93	0.9425
0	0
0	0
113	0.9398
73	0.9936
142	0.9709
110	0.9552
140	0.9573
105	0.9405
102	0.9256
0	0
0	0
41	0.9765
187	0.9514
0	0
0	0
0	0
0	0
159	0.9568
70	0.9528
160	0.9386
133	0.9612
0	0
0	0
84	1
105	0.9835
0	0
0	0
0	0
109	0.9763
153	0.955
62	1
131	0.9973
0	0
0	0
0	0
0	0
0	0
0	0
19	1
148	0.9484
89	0.9327
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
133	0.9612
173	0.9555
117	0.9854
143	0.9778
0	0
0	0
0	0
0	0
5	1
0	0
0	0
0	0
0	0
110	0.9264
0	0
145	0.9649
0	0
0	0
0	0
95	0.9956
0	0
0	0
120	0.9687
19	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
114	0.9601
11	0.9762
157	0.9447
148	0.9238
0	0
0	0
119	1
0	0
0	0
0	0
0	0
0	0
0	0
66	0.8983
5	1
85	1
158	0.9756
90	0.9566
0	0
0	0
0	0
0	0
14	0.9925
19	1
0	0
0	0
38	1
5	1
0	0
0	0
0	0
0	0
60	0.9757
0	0
94	0.9526
83	0.9945
0	0
0	0
0	0
0	0
127	0.9954
0	0
120	0.9687
0	0
152	0.9591
6	1
113	0.9812
0	0
0	0
0	0
0	0
0	0
8	1
67	0.9482
44	1
0	0
0	0
5	1
0	0
0	0
0	0
0	0
152	0.9848
0	0
0	0
0	0
131	0.9579
56	0.9925
0	0
0	0
71	0.9664
90	0.9432
191	0.9492
0	0
26	0.9927
89	0.979
92	1
170	0.939
137	0.9367
0	0
0	0
0	0
108	0.9378
71	1
135	0.9336
147	0.9782
131	0.9314
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
106	0.9619
129	1
120	0.9405
0	0
0	0
46	1
0	0
42	1
0	0
0	0
0	0
0	0
0	0
5	1
5	1
0	0
108	0.98
0	0
73	0.9564
0	0
149	0.9548
10	1
34	1
0	0
0	0
0	0
0	0
0	0
82	1
0	0
0	0
0	0
0	0
0	0
6	1
103	0.9964
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
75	0.9826
134	0.9162
84	0.9431
110	0.9853
0	0
0	0
140	0.9682
0	0
0	0
0	0
0	0
125	0.9797
0	0
0	0
24	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
10	0.5989
0	0
0	0
0	0
0	0
0	0
110	0.9264
0	0
0	0
0	0
23	1
0	0
173	0.9555
91	1
0	0
102	0.9136
140	0.9954
121	0.937
0	0
0	0
0	0
0	0
0	0
0	0
23	1
45	1
0	0
0	0
27	1
0	0
80	0.9586
7	1
0	0
0	0
0	0
0	0
65	1
141	0.9641
0	0
0	0
109	0.918
136	0.9782
0	0
87	0.957
0	0
0	0
103	0.9648
86	0.9326
0	0
6	1
0	0
0	0
0	0
49	0.9875
0	0
0	0
12	0.7805
0	0
0	0
0	0
0	0
139	0.925
8	1
0	0
47	0.9933
84	0.971
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
7	1
108	0.98
116	0.977
0	0
142	0.9709
133	0.9456
0	0
0	0
0	0
150	0.9362
0	0
0	0
0	0
0	0
147	0.9782
0	0
0	0
62	1
0	0
85	0.935
134	0.9527
25	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
5	1
118	0.9938
0	0
89	1
0	0
0	0
127	0.9554
150	0.9362
0	0
0	0
0	0
170	0.9725
0	0
0	0
0	0
0	0
95	0.9956
95	0.9628
43	0.9738
90	0.9566
82	1
0	0
129	0.9544
153	0.9804
71	1
44	0.9964
0	0
0	0
0	0
0	0
0	0
0	0
139	0.9504
89	0.9327
0	0
0	0
0	0
0	0
0	0
90	0.99
111	0.9942
0	0
78	0.9693
0	0
0	0
0	0
0	0
0	0
0	0
0	0
101	0.9461
140	0.9573
95	0.9956
7	1
121	0.96
0	0
0	0
96	0.9287
0	0
0	0
137	0.9117
0	0
0	0
0	0
67	1
84	0.971
119	1
105	0.9235
35	1
0	0
138	0.9811
138	0.9183
48	1
54	1
0	0
0	0
0	0
117	0.9854
0	0
13	1
0	0
104	1
0	0
0	0
54	1
0	0
129	0.9705
0	0
0	0
0	0
0	0
81	1
39	1
0	0
5	1
125	0.9797
98	0.9932
106	0.9929
94	0.9851
89	0.9651
0	0
0	0
111	0.9763
0	0
45	1
67	1
0	0
0	0
0	0
190	0.9667
5	0.8727
117	0.9731
109	0.9763
117	0.9444
112	0.9433
0	0
84	1
0	0
124	0.9719
68	0.9623
5	1
0	0
0	0
0	0
0	0
0	0
0	0
125	0.9797
11	0.8868
107	1
0	0
0	0
43	1
0	0
0	0
0	0
0	0
0	0
118	0.9525
0	0
0	0
0	0
0	0
0	0
0	0
0	0
141	0.9488
0	0
0	0
0	0
88	0.988
0	0
93	0.9425
0	0
107	0.9584
0	0
0	0
0	0
0	0
0	0
0	0
154	0.9868
89	0.9651
159	0.9924
121	0.9484
111	0.9639
0	0
0	0
0	0
0	0
128	0.963
5	0.8727
86	0.9326
0	0
0	0
69	0.9765
68	1
71	0.9511
0	0
0	0
0	0
0	0
5	1
146	0.9608
104	0.9742
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
7	1
144	0.9582
0	0
0	0
0	0
141	0.9383
0	0
0	0
0	0
0	0
85	1
101	0.9461
140	0.9682
0	0
9	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
51	0.9813
80	0.9792
145	0.9914
0	0
0	0
0	0
0	0
103	0.9226
0	0
123	0.9364
0	0
26	1
0	0
0	0
0	0
0	0
0	0
68	0.9623
0	0
0	0
139	0.9882
0	0
0	0
0	0
74	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
129	0.9821
16	1
112	0.9603
123	0.964
0	0
0	0
93	0.9747
0	0
106	0.9929
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
52	0.9387
0	0
0	0
101	0.9771
0	0
0	0
117	0.9854
95	0.9956
0	0
0	0
91	0.9672
0	0
0	0
0	0
0	0
0	0
0	0
111	0.9348
0	0
0	0
0	0
70	0.9378
118	0.9643
169	0.943
104	0.9742
0	0
0	0
0	0
0	0
0	0
161	0.9792
43	0.9738
0	0
120	0.9807
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
150	0.9464
148	0.9588
0	0
0	0
104	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
141	1
0	0
177	0.9541
179	0.9887
117	0.9854
150	0.9871
149	0.9548
5	1
105	0.9528
0	0
137	1
0	0
91	0.9672
150	0.9464
174	0.9379
138	0.9436
0	0
0	0
114	0.9482
86	0.946
135	0.9871
0	0
0	0
0	0
0	0
0	0
170	0.9163
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
156	0.9996
0	0
121	0.96
0	0
0	0
0	0
0	0
118	0.9938
80	1
0	0
93	1
0	0
156	0.9996
0	0
152	0.9591
9	1
107	0.971
138	0.9699
131	0.9973
87	0.9911
0	0
0	0
77	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
167	0.9553
0	0
0	0
0	0
0	0
150	0.9464
108	0.9674
13	1
80	0.9444
10	0.9817
99	0.9577
0	0
0	0
78	1
0	0
66	0.9882
0	0
143	0.9778
144	0.9846
0	0
146	0.9825
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
152	0.9146
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
42	1
143	0.9516
102	0.9682
7	1
102	0.9554
0	0
0	0
98	0.948
156	0.9632
72	0.98
0	0
0	0
62	0.967
177	0.9541
148	0.9849
0	0
0	0
0	0
0	0
0	0
0	0
157	0.9799
0	0
0	0
0	0
0	0
0	0
0	0
98	0.9609
0	0
0	0
0	0
143	0.9516
0	0
137	0.974
54	0.9329
0	0
0	0
107	0.971
0	0
0	0
16	0.9269
0	0
73	0.9936
0	0
0	0
0	0
0	0
136	0.9299
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
74	1
0	0
168	0.961
121	0.9767
0	0
105	0.9528
85	0.9826
113	0.9517
0	0
148	0.9849
165	0.9781
16	1
0	0
0	0
128	1
0	0
0	0
0	0
16	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
150	0.9612
102	0.9554
0	0
0	0
0	0
0	0
152	0.9487
0	0
87	0.957
16	1
0	0
0	0
0	0
0	0
0	0
85	0.9683
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
131	0.9579
0	0
0	0
0	0
107	0.9411
0	0
0	0
6	1
151	0.9676
99	0.9273
0	0
125	0.914
0	0
0	0
0	0
110	0.9552
118	0.9938
0	0
5	1
120	0.9405
0	0
158	0.9862
0	0
0	0
189	0.9303
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
149	0.8966
0	0
0	0
170	0.9486
17	1
120	0.9405
129	0.9433
96	0.9596
0	0
0	0
99	0.9577
114	0.9601
126	0.9479
0	0
77	0.9932
0	0
160	0.9386
0	0
0	0
179	0.9648
0	0
0	0
0	0
138	0.9436
0	0
0	0
0	0
160	0.9731
0	0
126	0.9479
0	0
158	0.9507
0	0
116	0.977
0	0
"TS2 B_SP,2,.tif"	
144	0.9086
172	0.8961
0	0
0	0
10	1
0	0
93	0.9747
167	0.9224
118	0.9248
175	0.9339
8	0.9144
84	0.9569
124	0.9329
49	0.9875
9	1
40	1
97	0.9511
93	1
52	1
101	0.9286
127	0.9669
0	0
14	1
103	0.9059
8	0.9144
58	0.9046
128	0.9745
174	0.9611
86	0.9942
109	0.9763
134	0.9373
114	0.9482
178	0.9594
72	0.98
0	0
0	0
166	0.9738
131	0.9579
6	0.9163
0	0
0	0
5	1
0	0
0	0
5	1
121	0.937
0	0
102	1
134	0.9798
0	0
92	0.9324
97	0.983
160	0.9386
0	0
0	0
0	0
170	0.9725
0	0
159	0.9327
79	0.9818
0	0
145	0.9291
81	1
9	1
0	0
0	0
5	1
123	0.9364
108	0.9499
6	1
73	0.9936
0	0
59	0.9764
0	0
0	0
0	0
0	0
0	0
5	1
0	0
0	0
0	0
144	0.9329
93	0.9425
0	0
0	0
0	0
0	0
0	0
0	0
78	0.9693
174	0.9611
0	0
0	0
0	0
59	1
0	0
0	0
0	0
104	0.9742
39	1
0	0
41	1
0	0
130	0.9506
0	0
41	0.9765
18	1
0	0
0	0
199	0.9572
5	1
0	0
0	0
0	0
0	0
144	0.9329
0	0
0	0
0	0
0	0
0	0
0	0
152	0.9487
0	0
0	0
149	0.9401
95	0.9315
148	0.9238
10	1
176	0.9487
0	0
0	0
0	0
95	0.9628
150	0.9362
138	0.9699
190	0.9667
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
87	0.9118
0	0
68	1
0	0
27	1
94	0.9396
0	0
113	0.9812
0	0
97	0.983
0	0
117	0.9562
128	0.963
177	0.9541
0	0
0	0
0	0
0	0
49	0.9251
6	1
107	0.971
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
74	1
0	0
0	0
0	0
35	1
156	0.9737
0	0
0	0
0	0
0	0
0	0
16	0.9582
115	0.9685
0	0
0	0
160	0.9731
0	0
0	0
0	0
0	0
0	0
172	0.95
0	0
0	0
0	0
85	0.935
0	0
0	0
0	0
98	0.9932
6	1
0	0
0	0
121	0.9484
0	0
0	0
0	0
0	0
173	0.9896
169	0.9914
0	0
0	0
0	0
5	1
21	1
139	0.9882
97	0.9696
0	0
95	1
13	0.9216
0	0
0	0
0	0
208	0.978
84	0.9569
0	0
0	0
5	0.8727
0	0
0	0
138	0.9544
104	0.9742
0	0
0	0
136	0.9944
163	0.9562
0	0
0	0
0	0
0	0
0	0
81	0.9705
0	0
0	0
0	0
97	1
109	0.9891
6	1
0	0
0	0
0	0
0	0
0	0
42	1
156	0.9737
0	0
0	0
0	0
0	0
0	0
0	0
0	0
140	0.9573
0	0
0	0
0	0
0	0
134	0.9527
170	0.9972
13	1
0	0
0	0
0	0
0	0
26	1
0	0
123	0.9758
0	0
87	0.957
27	0.8165
195	0.9168
6	1
0	0
0	0
120	0.9405
5	1
0	0
140	0.9573
88	1
6	1
0	0
0	0
0	0
0	0
5	1
144	0.9582
0	0
124	0.9719
90	0.9432
134	1
0	0
94	0.9093
0	0
0	0
0	0
0	0
0	0
60	1
0	0
5	1
96	0.9596
115	0.9685
0	0
0	0
143	0.9516
107	1
0	0
0	0
0	0
0	0
192	0.9542
25	1
0	0
0	0
0	0
0	0
107	0.9891
0	0
115	0.9685
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
121	0.9767
108	0.9499
70	0.9528
6	1
0	0
0	0
87	0.9911
137	0.974
0	0
0	0
0	0
0	0
130	0.9506
144	0.9476
0	0
0	0
6	1
28	1
89	0.979
0	0
0	0
0	0
0	0
0	0
0	0
100	0.9674
0	0
0	0
0	0
0	0
0	0
0	0
0	0
76	0.9803
16	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
119	0.9606
0	0
0	0
95	0.9956
0	0
0	0
0	0
0	0
142	0.9345
0	0
0	0
0	0
27	0.9096
0	0
0	0
0	0
0	0
118	0.9362
0	0
0	0
68	1
71	1
0	0
9	1
7	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
146	0.9459
0	0
0	0
0	0
0	0
5	0.8727
143	0.9668
202	0.9497
0	0
0	0
0	0
0	0
0	0
96	1
95	0.9628
0	0
0	0
0	0
0	0
131	0.9855
0	0
121	0.9103
130	0.8889
66	0.9718
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
5	1
0	0
0	0
0	0
144	0.9582
0	0
0	0
0	0
0	0
0	0
0	0
0	0
